bubblesort,100,99,4929,4950
bubblesort,100,4.175E-5,0.001926917,3.5725E-4
bubblesort,200,199,19339,19900
bubblesort,200,4.7791E-5,0.002498958,0.001070708
bubblesort,300,299,44745,44850
bubblesort,300,4.0417E-5,0.003500541,0.001260833
bubblesort,400,399,79304,79800
bubblesort,400,4.7666E-5,0.004495958,8.75708E-4
bubblesort,500,499,124672,124750
bubblesort,500,5.7875E-5,0.004995625,0.001378917
bubblesort,600,599,179322,179700
bubblesort,600,3.9542E-5,0.005666291,0.001944375
mergesort,100,2.36791E-4,8.97833E-4,1.86541E-4
mergesort,200,4.21459E-4,0.001089166,2.16083E-4
mergesort,300,0.001477542,4.57208E-4,3.5375E-4
mergesort,400,0.001346292,5.56834E-4,1.8475E-4
mergesort,500,0.001545542,5.35417E-4,1.44917E-4
mergesort,600,0.001689333,5.34833E-4,1.45333E-4
quicksort,100,1.41333E-4,0.001036583,1.12209E-4
quicksort,200,1.9425E-4,9.90541E-4,2.42125E-4
quicksort,300,1.72292E-4,0.001058125,1.93666E-4
quicksort,400,0.001145042,3.95458E-4,2.28042E-4
quicksort,500,0.001174292,2.81333E-4,2.19208E-4
quicksort,600,0.001560292,4.89125E-4,1.81583E-4
heapsort,100,0.001279167,2.30458E-4,1.43041E-4
heapsort,200,0.001508083,2.595E-4,1.07083E-4
heapsort,300,0.001467333,2.42084E-4,1.33625E-4
heapsort,400,0.001731459,2.53458E-4,1.0625E-4
heapsort,500,0.001550375,1.85375E-4,1.27125E-4
heapsort,600,0.001747375,2.23625E-4,1.61417E-4
transpositionsort,100,99,4455,5049
transpositionsort,200,199,19303,20099
transpositionsort,300,299,38870,45149
transpositionsort,400,399,76608,80199
transpositionsort,500,499,121257,125249
transpositionsort,600,599,175507,180299
